Sanskrit,Without Sandhi,Multipule Morphology,Morph in Context,Samaasa structural analysis,Samaasa vigraha,Kaaraka relation,Category,Hindi Meaning,English Meaning,Derivational Meaning,Sandhi rules,Meter: Guru-Laghu
नाना-शस्त्र-प्रहरणाः,नानाशस्त्रप्रहरणाः,नाना-शस्त्र-प्रहरण{पुं}{1;बहु},नाना-शस्त्र-प्रहरण{पुं}{1;बहु},<<नाना-शस्त्र>Km-प्रहरणाः>Bs6,"नानाविधानि शस्त्राणि = नानाशस्त्राणि, नानाशस्त्राणि प्रहरणम् यस्य सः = नानाशस्त्रप्रहरणः ते नानाशस्त्रप्रहरणाः",समुच्चितम् 20,-,अनेक प्रकार के शस्त्रास्त्रों से सुसज्जित,equipped with various weapons and missiles,-,गुण-सन्धिः (आद्गुणः (6।1।87)),LGGG
युद्ध-विशारदाः,युद्धविशारदाः,युद्ध-विशारद{पुं}{1;बहु}/विशारदा{स्त्री}{1;बहु}/विशारदा{स्त्री}{2;बहु},युद्ध-विशारद{पुं}{1;बहु},<युद्ध-विशारदाः>T7,युद्धे विशारदः = युद्धविशारदः ते युद्धविशारदाः,समुच्चितम् 20,-,युद्ध में चतुर,skilled in warfare,-,-,GG
च,च,च{अव्य},च{अव्य},-,-,विशेषणम् 21,-,और,also,-,-,GG
सर्वे,सर्वे,सर्व{पुं}{1;बहु}/सर्व{नपुं}{1;द्वि}/सर्व{नपुं}{2;द्वि}/सर्वा{स्त्री}{1;द्वि}/सर्वा{स्त्री}{2;द्वि},सर्व{पुं}{1;बहु},-,-,कर्ता 24,-,सब के सब,all of them,1.10.K-,1.10.L-,1.10.MLG
मत्-अर्थे,मदर्थे,अस्मद्-अर्थ{पुं}{7;एक}/अर्थ{नपुं}{1;द्वि}/अर्थ{नपुं}{2;द्वि}/अर्थ{नपुं}{7;एक},अस्मद्-अर्थ{पुं}{7;एक},<अस्मत्-अर्थे>T4,मह्यम् इदम् = मदर्थम् तस्मिन् मदर्थे,प्रयोजनम् 23,-,मेरे लिये,for my sake,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),GGL
त्यक्त-जीविताः,त्यक्तजीविताः,त्यक्त-जीवित{पुं}{1;बहु}/जीविता{स्त्री}{1;बहु}/जीविता{स्त्री}{2;बहु},त्यक्त-जीवित{पुं}{1;बहु},<त्यक्त-जीविताः>Bs3,त्यक्तम् जीवितम् येन सः = त्यक्तजीवितः ते त्यक्तजीविताः,कर्तृसमानाधिकरणम् 24,-,जीवन की आशा त्याग देनेवाले,prepared to risk life,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),GGL
(सन्ति),-,(सत्{नपुं}{1;बहु}/सत्{नपुं}{2;बहु}/अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः},-,-,-,-,(हैं),are,-,-,LLGLLGLG
1.7.Aभीष्म-अभिरक्षितम्,1.7.Bभीष्माभिरक्षितम्,1.7.Cभीष्म-अभिरक्षित{पुं}{2;एक}/अभिरक्षित{नपुं}{1;एक}/अभिरक्षित{नपुं}{2;एक},1.7.Dभीष्म-अभिरक्षित{पुं}{2;एक},1.7.E<भीष्म-अभिरक्षितम्>T3,1.7.Fभीष्मेण अभिरक्षितम् = भीष्माभिरक्षितम्,1.7.Gविशेषणम् 4,1.7.H-,1.7.Iभीष्मपितामह द्वारा रक्षित,1.7.Jfully protected by Bhisma,-,वृद्धि-सन्धिः (वृद्धिरेचि (6।1।88)) / सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),LLGGLGGL
अस्माकम्,-,अस्मद्{6;बहु},अस्मद्{6;बहु},-,-,षष्ठीसम्बन्धः 4,-,हमारी,of ours,-,विसर्गलोप-सन्धिः (एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6।1।132)),L
तत्,तदस्माकं,तद्{नपुं}{1;एक}/तद्{नपुं}{2;एक},तद्{नपुं}{1;एक},-,-,विशेषणम् 4,-,वह,that,-,सत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)) / रुत्व-उत्व-गुण-पूर्वरुप-सन्धिः (ससजुषो रुः (8।2।66)-अतो रोरप्लुतादप्लुते (6।1।113)-आद्गुणः (6।1।87)-एङः पदान्तादति (6।1।109)),GGGLGLL
बलम्,बलं,बल{पुं}{2;एक}/बल{नपुं}{1;एक}/बल{नपुं}{2;एक},बल{नपुं}{1;एक},-,-,कर्ता 6,-,सेना,army,1.11.K-,1.11.L-,1.11.MLG
अ-पर्याप्तम्,अपर्याप्तं,अ-पर्याप्त{नपुं}{1;एक}/पर्याप्त{नपुं}{2;एक},अपर्याप्त{नपुं}{1;एक},<न-पर्याप्तं>Tn,न पर्याप्तं = अपर्याप्तम्,कर्तृसमानाधिकरणम् 6,-,सब प्रकार से अजेय,unconquerable,-,रेफ-सन्धिः (ससजुषो रुः (8।2।66)) / रेफ-सन्धिः (ससजुषो रुः (8।2।66)),GGLGGG
(अस्ति),-,(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः},-,-,-,-,(है),is,-,-,LLL
तु,त्विदमेतेषां,तु{अव्य},तु{अव्य},-,-,-,-,और,but,-,-,GLG
भीम-अभिरक्षितम्,भीमाभिरक्षितम्,भीम-अभिरक्षित{पुं}{2;एक}/अभिरक्षित{नपुं}{1;एक}/अभिरक्षित{नपुं}{2;एक},भीम-अभिरक्षित{नपुं}{1;एक},<भीम-अभिरक्षितम्>T3,भीमेन अभिरक्षितम् = भीमाभिरक्षितम्,विशेषणम् 11,-,भीम द्वारा रक्षित,guarded in everyway by Bhima,-,-,LG
एतेषाम्,-,एतद्{पुं}{6;बहु}/एतद्{नपुं}{6;बहु},एतद्{पुं}{6;बहु},-,-,षष्ठीसम्बन्धः 11,-,इन की,of the Pandavas,मा लक्ष्मीः तस्याः धवः माधवः,-,GLG
इदम्,-,इदम्{नपुं}{1;एक}/इदम्{नपुं}{2;एक},इदम्{नपुं}{1;एक},-,-,विशेषणम् 11,-,यह,all this,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)) / वृद्धि-सन्धिः (वृद्धिरेचि (6।1।88)),GLGGL
बलम्,बलं,बल{पुं}{2;एक}/बल{नपुं}{1;एक}/बल{नपुं}{2;एक},बल{नपुं}{1;एक},-,-,कर्ता 13,-,सेना,army,-,-,GG
पर्याप्तम्,पर्याप्तं,पर्याप्त{नपुं}{1;एक}/पर्याप्त{नपुं}{2;एक},पर्याप्त{नपुं}{1;एक},-,-,कर्तृसमानाधिकरणम् 13,-,जीतने में सुगम,easy to conquer,-,-,GG
(अस्ति),-,(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः},-,-,-,-,(है),is,-,-,LGLG
1.8.Aच,1.8.Bच,1.8.Cच{अव्य},1.8.Dच{अव्य},1.8.E-,1.8.F-,1.8.G-,1.8.H-,1.8.Iइसलिये,1.8.Jalso,1.12.Kहृषीकाणां इन्द्रियाणां ईशः हृषीकेशः,1.12.Lरुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),1.12.MLGGG
सर्वेषु,सर्वेषु,सर्व{पुं}{7;बहु}/सर्व{नपुं}{7;बहु},सर्व{नपुं}{7;बहु},-,-,विशेषणम् 3,-,सब,everywhere,पञ्चजने भवः पाञ्चजन्यः तम्,-,GLGG
अयनेषु,अयनेषु,अयन{नपुं}{7;बहु},अयन{नपुं}{7;बहु},-,-,अधिकरणम् 12,-,मोर्चों पर,on all fronts,धनं जयतीति धनञ्जयः,-,LGLG
यथा-भागम्,यथाभागमवस्थिताः,यथा-भाग{पुं}{2;एक}/भाग{नपुं}{1;एक}/भाग{नपुं}{2;एक},यथा-भाग{पुं}{2;एक},<यथा-भागम्>A1,भागम् अनतिक्रम्य = यथाभागम्,क्रियाविशेषणम् 5,-,अपनी-अपनी जगह,in respective positions,-,-,GLGG
अवस्थिताः,-,अवस्थित{पुं}{1;बहु}/अवस्थिता{स्त्री}{1;बहु}/अवस्थिता{स्त्री}{2;बहु},अव स्था{कृत् प्रत्ययः:क्त;अव ष्ठा;भ्वादिः;पुं}{1;बहु},-,-,विशेषणम् 7,-,स्थित रहते हुए,stationed,-,-,GLGG
भवन्तः,भवन्तः,भवत्{पुं}{1;बहु}/भवन्त{पुं}{1;एक},भवत्{पुं}{1;बहु},-,-,विशेषणम् 7,-,आपलोग,all of you,-,-,LGLG
सर्वे,सर्व,सर्व{पुं}{1;बहु}/सर्व{नपुं}{1;द्वि}/सर्व{नपुं}{2;द्वि}/सर्वा{स्त्री}{1;द्वि}/सर्वा{स्त्री}{2;द्वि},सर्व{पुं}{1;बहु},-,-,कर्ता 12,-,सभी,respectively,-,-,LGGG
एव,एव,एव{अव्य},एव{अव्य},-,-,सम्बन्धः 7,-,ही,certainly,-,-,GG
हि,हि,हि{अव्य},हि{अव्य},-,-,-,-,निःसन्देह,and exactly,-,-,GG
भीष्मम्,भीष्ममेवाभिरक्षन्तु,भीष्म{पुं}{2;एक}/भीष्म{नपुं}{1;एक}/भीष्म{नपुं}{2;एक},भीष्म{पुं}{2;एक},-,-,कर्म 12,-,भीष्मपितामह की,unto Bhisma,1.13.K-,1.13.Lरुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),1.13.MGGGG
